Open?,Parent,Location,Site Contact,Address,"City,State, Zip",Distance from HQ
1,Sasser Companies,Aberdeen,910-724-2334,1800 N Sandhills Blvd,"Aberdeen, NC 28315",3
1,Sasser Companies,Asheville,828-210-2835,160 Hendersonville Rd,"Asheville, NC 28803",4
1,Sasser Companies,Boone,828-265-7146,"178 Hwy 105 Ext, Suite 101","Boone, NC 28607",4
1,Sasser Companies,Burlington,336-506-1720,104 Huffman Mill Rd,"Burlington, NC 27215",1
1,Sasser Companies,Ten Ten Road,919-362-5871,"3420 Ten Ten Rd, Suite 318","Cary, NC 27518",2
1,Sasser Companies,Cornerstone Drive,919-650-3660,100 Cornerstone Dr,"Cary, NC 27519",2
1,Sasser Companies,Wilkinson Boulevard,704-319-5176,"3250 Wilkinson Blvd, Suite I","Charlotte, NC 28208",2
1,Sasser Companies,West Mallard Creek Church Road,980-218-1860,"2728 W Mallard Creek Church Rd, Suite 300","Charlotte, NC 28262",2
1,Sasser Companies,Clayton,919-550-2484,11491 US Hwy 70 W,"Clayton, NC 27520",2
1,Sasser Companies,Concord,704-886-1780,391 George W Liles Pkwy NW,"Concord, NC 28027",2
1,Sasser Companies,Durham,919-313-3900,7010 NC Highway 751,"Durham, NC 27707",2
1,Sasser Companies,Hope Mills,910-354-1281,"3007 Town Center Dr, Suite 100-101","Fayetteville, NC 28306",3
1,Sasser Companies,Francam Drive,910-487-1100,"150 Francam Drive, Suite 120","Fayetteville, NC 28311",3
1,Sasser Companies,Fuquay-Varina,919-552-1733,1418 N Main St,"Fuquay-Varina, NC 27526",2
1,Sasser Companies,Garner - Hwy 42 W,919-329-5000,5156 NC Hwy 42 W,"Garner, NC 27529",2
1,Sasser Companies,Garner - US 70 Hwy,919-779-7890,220 US 70 Hwy,"Garner, NC 27529",2
1,Sasser Companies,Goldsboro,919-778-0851,212 N Spence Ave,"Goldsboro, NC 27534",4
1,Sasser Companies,Battleground Avenue,336-387-5020,3215 Battleground Ave,"Greensboro, NC 27408",1
1,Sasser Companies,Greenville,252-917-5621,"315 Greenville Blvd SE, Suite 100","Greenville, NC 27858",4
1,Sasser Companies,Harrisburg,704-456-1218,I'm,"Harrisburg, NC 28075",2
1,Sasser Companies,Henderson,252-654-1020,903 S Beckford Dr,"Henderson, NC 27536",3
1,Sasser Companies,Hendersonville,828-233-1664,"825 Spartanburg Hwy, Suite 17","Hendersonville, NC 28792",4
1,Sasser Companies,Hickory,828-404-3656,2280 Hwy 70 SE,"Hickory, NC 28602",2
1,Sasser Companies,Skeet Club Road,336-899-2160,"1589 Skeet Club Rd, Suite 155","High Point, NC 27265",1
1,Sasser Companies,Kinston,252-523-3111,2908 N Heritage St,"Kinston, NC 28501",4
1,Sasser Companies,Leland,910-782-3600,202 Village Rd NE,"Leland, NC 28451",4
1,Sasser Companies,Lenoir,828-991-0999,825 Blowing Rock Blvd,"Lenoir, NC 28645",4
1,Sasser Companies,Lumberton,910-738-5588,"5080 Kahn Dr, Suite 120","Lumberton, NC 28358",3
1,Sasser Companies,Morehead City,252-622-4033,"3722 Bridges St, STE A","Morehead City, NC 28557",4
1,Sasser Companies,Raleigh - Downtown,919-255-2107,501 N Harrington St,"Raleigh, NC 27603",2
1,Sasser Companies,Millbrook Road,919-719-0119,1311 E Millbrook Rd,"Raleigh, NC 27609",2
1,Sasser Companies,Creedmoor Road,919-825-4000,"6500 Creedmoor Rd, Suite 110","Raleigh, NC 27613",2
1,Sasser Companies,Roanoke Rapids,252-537-5600,1261 Julian Allsbrook Hwy,"Roanoke Rapids, NC 27870",4
1,Sasser Companies,Rockingham,910-817-9200,1262 E Broad Ave,"Rockingham, NC 28379",3
1,Sasser Companies,Sunset Avenue,252-458-2508,2001 Sunset Ave,"Rocky Mount, NC 27804",4
1,Sasser Companies,Roxboro,336-592-2230,"910 N Madison Blvd, Suite B","Roxboro, NC 27573",3
1,Sasser Companies,Salisbury,704-603-1175,1361 Klumac Rd,"Salisbury, NC 28147",2
1,Sasser Companies,Sanford,919-776-6767,724 S Horner Blvd,"Sanford, NC 27330",1
1,Sasser Companies,Wilkesboro,336-667-2710,1903 Addison Ave,"Wilkesboro, NC 28697",3
1,Sasser Companies,Wilmington,910-782-3284,5214 Market Street,"Wilmington, NC 28405",4
1,Sasser Companies,Wilson,252-991-0555,2503-B Forest Hills Rd,"Wilson, NC 27893",4
1,Sasser Companies,Stratford Road,336-714-5399,"310 S Stratford Rd, Suite 120","Winston-Salem, NC 27103",1
1,Sasser Companies,Zebulon,919-375-1975,"817 E Gannon Ave, Suite 104","Zebulon, NC 27597",3
